epoch,box,cls,kpt,Recall,Precision,mAP@50,F1,mAP
094,0.491,0.224,0.117,0.407,0.778,0.459,0.535,0.229
095,0.470,0.216,0.113,0.407,0.779,0.459,0.535,0.229
096,0.512,0.229,0.120,0.407,0.779,0.459,0.535,0.229
097,0.489,0.223,0.116,0.407,0.780,0.460,0.535,0.229
098,0.478,0.217,0.115,0.407,0.781,0.460,0.535,0.229
099,0.488,0.218,0.115,0.407,0.781,0.460,0.535,0.229
100,0.490,0.220,0.115,0.407,0.782,0.460,0.535,0.230
101,0.500,0.224,0.116,0.407,0.781,0.460,0.535,0.230
102,0.470,0.216,0.116,0.408,0.781,0.460,0.536,0.230
103,0.485,0.226,0.121,0.407,0.781,0.460,0.535,0.229
104,0.498,0.228,0.118,0.407,0.780,0.460,0.535,0.230
105,0.499,0.229,0.120,0.407,0.781,0.461,0.535,0.230
106,0.492,0.225,0.119,0.408,0.780,0.461,0.536,0.230
107,0.494,0.228,0.119,0.408,0.781,0.461,0.536,0.230
108,0.482,0.226,0.119,0.408,0.782,0.461,0.536,0.230
109,0.478,0.226,0.117,0.408,0.784,0.461,0.536,0.230
110,0.477,0.223,0.116,0.408,0.782,0.461,0.537,0.230
111,0.474,0.224,0.116,0.408,0.782,0.461,0.536,0.230
112,0.465,0.220,0.115,0.408,0.784,0.461,0.536,0.230
113,0.475,0.224,0.116,0.408,0.785,0.461,0.537,0.230
114,0.467,0.222,0.116,0.408,0.784,0.462,0.537,0.230
115,0.511,0.232,0.121,0.409,0.783,0.462,0.537,0.230
116,0.489,0.230,0.117,0.409,0.785,0.462,0.538,0.231
117,0.485,0.228,0.117,0.409,0.783,0.462,0.538,0.231
118,0.477,0.222,0.116,0.409,0.783,0.462,0.538,0.231
119,0.479,0.227,0.114,0.409,0.784,0.463,0.538,0.231
120,0.441,0.213,0.109,0.410,0.783,0.463,0.538,0.231
121,0.464,0.221,0.114,0.410,0.784,0.463,0.538,0.231
122,0.471,0.225,0.115,0.409,0.785,0.463,0.538,0.231
123,0.461,0.221,0.112,0.410,0.784,0.463,0.538,0.231
124,0.486,0.226,0.118,0.409,0.786,0.463,0.538,0.231
125,0.487,0.225,0.115,0.410,0.785,0.463,0.539,0.231
126,0.498,0.231,0.117,0.410,0.787,0.463,0.539,0.231
127,0.488,0.227,0.118,0.410,0.787,0.463,0.539,0.231
128,0.476,0.220,0.113,0.410,0.787,0.463,0.539,0.231
129,0.473,0.227,0.114,0.409,0.787,0.463,0.538,0.231
130,0.482,0.226,0.114,0.410,0.786,0.464,0.539,0.231
131,0.484,0.227,0.115,0.410,0.787,0.464,0.539,0.231
132,0.468,0.222,0.113,0.411,0.786,0.464,0.539,0.231
133,0.472,0.221,0.114,0.410,0.787,0.464,0.539,0.231
134,0.477,0.225,0.113,0.410,0.787,0.464,0.539,0.231
135,0.471,0.226,0.115,0.411,0.786,0.464,0.539,0.231
136,0.495,0.229,0.116,0.410,0.786,0.464,0.539,0.231
137,0.476,0.225,0.113,0.410,0.786,0.464,0.539,0.231
138,0.458,0.218,0.110,0.410,0.785,0.463,0.539,0.231
139,0.489,0.225,0.113,0.411,0.784,0.463,0.539,0.232
140,0.463,0.221,0.111,0.410,0.785,0.463,0.539,0.232
141,0.488,0.229,0.114,0.410,0.787,0.464,0.539,0.232
142,0.493,0.230,0.115,0.409,0.788,0.464,0.539,0.232
143,0.470,0.222,0.111,0.409,0.787,0.463,0.539,0.232
144,0.471,0.222,0.111,0.409,0.787,0.463,0.538,0.232
145,0.483,0.227,0.112,0.409,0.786,0.463,0.538,0.232
146,0.469,0.216,0.110,0.409,0.786,0.463,0.538,0.232
147,0.491,0.230,0.115,0.410,0.785,0.463,0.539,0.232
148,0.467,0.224,0.111,0.410,0.785,0.463,0.538,0.232
149,0.472,0.222,0.110,0.410,0.785,0.463,0.539,0.232
150,0.468,0.226,0.112,0.410,0.786,0.463,0.538,0.232
151,0.471,0.224,0.111,0.409,0.786,0.463,0.538,0.232
152,0.468,0.225,0.110,0.409,0.785,0.463,0.538,0.232
153,0.480,0.225,0.110,0.409,0.785,0.463,0.538,0.232
154,0.495,0.230,0.113,0.409,0.786,0.463,0.538,0.232
155,0.469,0.221,0.110,0.408,0.787,0.463,0.538,0.232
156,0.487,0.228,0.110,0.408,0.787,0.463,0.537,0.232
157,0.485,0.228,0.113,0.409,0.786,0.463,0.538,0.232
158,0.466,0.222,0.110,0.409,0.787,0.463,0.538,0.232
159,0.473,0.227,0.112,0.409,0.786,0.463,0.538,0.232
160,0.474,0.223,0.111,0.409,0.787,0.463,0.538,0.232
161,0.486,0.228,0.111,0.408,0.788,0.463,0.538,0.232
162,0.481,0.225,0.111,0.408,0.788,0.463,0.538,0.232
163,0.470,0.221,0.110,0.408,0.787,0.463,0.538,0.232
164,0.458,0.220,0.107,0.409,0.788,0.463,0.538,0.232
165,0.460,0.220,0.107,0.409,0.789,0.463,0.538,0.232
166,0.469,0.222,0.108,0.409,0.788,0.463,0.539,0.232
167,0.474,0.222,0.108,0.410,0.788,0.464,0.539,0.232
168,0.475,0.226,0.111,0.410,0.788,0.464,0.539,0.232
169,0.498,0.231,0.112,0.410,0.788,0.464,0.539,0.232
170,0.466,0.221,0.110,0.410,0.787,0.464,0.539,0.232
171,0.474,0.221,0.111,0.410,0.788,0.464,0.540,0.233
172,0.479,0.226,0.111,0.411,0.788,0.465,0.540,0.233
173,0.471,0.224,0.110,0.410,0.789,0.465,0.540,0.233
174,0.490,0.230,0.112,0.411,0.789,0.465,0.540,0.233
175,0.456,0.216,0.109,0.411,0.788,0.466,0.540,0.233
